#Jewel GMD Key(Key of gmd file);Jewel Name(Just for ID);Skill Name 1,Increased Number,Skill Name 2,Increased Number
JU_DOKU_NAME;Antidote Jewel 1;Poison Resistance,1
JU_M255_NAME;Mighty/Maintenance Jewel 4;Maximum Might,1,Tool Specialist,1
JU_M256_NAME;Brace/Maintenance Jewel 4;Flinch Free,1,Tool Specialist,1
JU_M257_NAME;Phoenix/Maintenance Jewel 4;Coalescence,1,Tool Specialist,1
JU_M258_NAME;Earplug/Maintenance Jewel 4;Earplugs,1,Tool Specialist,1
JU_M259_NAME;Critical/Maintenance Jewel 4;Critical Boost,1,Tool Specialist,1
JU_M260_NAME;Tenderizer/Maintenance Jewel 4;Weakness Exploit,1,Tool Specialist,1
JU_M261_NAME;Handicraft/Maintenance Jewel 4;Handicraft,1,Tool Specialist,1
JU_M262_NAME;Release/Maintenance Jewel 4;Free Elem/Ammo Up,1,Tool Specialist,1
JU_M263_NAME;Footing/Physique Jewel 4;Tremor Resistance,1,Constitution,1
JU_M264_NAME;Charger/Physique Jewel 4;Focus,1,Constitution,1
JU_M265_NAME;Enhancer/Physique Jewel 4;Power Prolonger,1,Constitution,1
JU_M266_NAME;Destroyer/Physique Jewel 4;Partbreaker,1,Constitution,1
JU_M267_NAME;KO/Physique Jewel 4;Slugger,1,Constitution,1
JU_M268_NAME;Potential/Physique Jewel 4;Heroics,1,Constitution,1
JU_M269_NAME;Wind Resist/Physique Jewel 4;Windproof,1,Constitution,1
JU_M270_NAME;Draw/Physique Jewel 4;Critical Draw,1,Constitution,1
JU_M271_NAME;Throttle/Physique Jewel 4;Latent Power,1,Constitution,1
JU_M272_NAME;Challenger/Physique Jewel 4;Agitator,1,Constitution,1
JU_M273_NAME;Flawless/Physique Jewel 4;Peak Performance,1,Constitution,1
JU_M274_NAME;Furor/Physique Jewel 4;Resentment,1,Constitution,1
JU_M275_NAME;Mighty/Physique Jewel 4;Maximum Might,1,Constitution,1
JU_M276_NAME;Brace/Physique Jewel 4;Flinch Free,1,Constitution,1
JU_M277_NAME;Phoenix/Physique Jewel 4;Coalescence,1,Constitution,1
JU_M278_NAME;Earplug/Physique Jewel 4;Earplugs,1,Constitution,1
JU_M279_NAME;Critical/Physique Jewel 4;Critical Boost,1,Constitution,1
JU_M280_NAME;Tenderizer/Physique Jewel 4;Weakness Exploit,1,Constitution,1
JU_M281_NAME;Handicraft/Physique Jewel 4;Handicraft,1,Constitution,1
JU_M282_NAME;Release/Physique Jewel 4;Free Elem/Ammo Up,1,Constitution,1
JU_M283_NAME;Footing/Evasion Jewel 4;Tremor Resistance,1,Evade Window,1
JU_M284_NAME;Charger/Evasion Jewel 4;Focus,1,Evade Window,1
JU_M285_NAME;Enhancer/Evasion Jewel 4;Power Prolonger,1,Evade Window,1
JU_M286_NAME;Destroyer/Evasion Jewel 4;Partbreaker,1,Evade Window,1
JU_M287_NAME;KO/Evasion Jewel 4;Slugger,1,Evade Window,1
JU_M288_NAME;Potential/Evasion Jewel 4;Heroics,1,Evade Window,1
JU_M289_NAME;Wind Resist/Evasion Jewel 4;Windproof,1,Evade Window,1
JU_M290_NAME;Draw/Evasion Jewel 4;Critical Draw,1,Evade Window,1
JU_M291_NAME;Throttle/Evasion Jewel 4;Latent Power,1,Evade Window,1
JU_M292_NAME;Challenger/Evasion Jewel 4;Agitator,1,Evade Window,1
JU_M293_NAME;Flawless/Evasion Jewel 4;Peak Performance,1,Evade Window,1
JU_M294_NAME;Furor/Evasion Jewel 4;Resentment,1,Evade Window,1
JU_M295_NAME;Mighty/Evasion Jewel 4;Maximum Might,1,Evade Window,1
JU_M296_NAME;Brace/Evasion Jewel 4;Flinch Free,1,Evade Window,1
JU_M297_NAME;Phoenix/Evasion Jewel 4;Coalescence,1,Evade Window,1
JU_M298_NAME;Earplug/Evasion Jewel 4;Earplugs,1,Evade Window,1
JU_M299_NAME;Critical/Evasion Jewel 4;Critical Boost,1,Evade Window,1
JU_M300_NAME;Tenderizer/Evasion Jewel 4;Weakness Exploit,1,Evade Window,1
JU_M301_NAME;Handicraft/Evasion Jewel 4;Handicraft,1,Evade Window,1
JU_M302_NAME;Release/Evasion Jewel 4;Free Elem/Ammo Up,1,Evade Window,1
JU_M303_NAME;Survival Jewel 1;Survival Expert,1
JU_M305_NAME;Warming Jewel 2;Coldproof,1
JU_M306_NAME;Diversion Jewel 3;Provoker,1
JU_M307_NAME;Acrobat Jewel 3;Safe Landing,1
JU_M308_NAME;Shaver Jewel 3;Clutch Claw Boost,1
